created_at,username,clip_url
2015-02-24 15:04:24.633572,johnfullard,http://dszi951biamkv.cloudfront.net/clips/videos/95c498a0-d55f-49d6-a715-acc8800057ea/standard.mp4
2015-02-24 16:27:24.624604,johnfullard,http://dszi951biamkv.cloudfront.net/clips/videos/4cec0f2b-0f68-48ae-9dfc-87d851eda55a/standard.mp4
2015-02-24 17:45:30.537638,anna,http://dszi951biamkv.cloudfront.net/clips/videos/2652d1bd-436e-442f-875f-6a1e7cae0f7b/standard.mp4
2015-02-24 17:47:44.715137,anna,http://dszi951biamkv.cloudfront.net/clips/videos/d86a7102-dde4-4ec0-a08a-1ac6bbffe3aa/standard.mp4
2015-02-24 17:48:00.846357,anna,http://dszi951biamkv.cloudfront.net/clips/videos/6082c305-c259-430e-b795-f8a64c901231/standard.mp4
2015-02-24 17:48:18.889217,anna,http://dszi951biamkv.cloudfront.net/clips/videos/2977cda1-1e06-48fc-b03c-08eb9078d572/standard.mp4
2015-02-24 17:48:22.394428,anna,http://dszi951biamkv.cloudfront.net/clips/videos/f2a7e64b-b9df-4162-a770-610534f63a6e/standard.mp4
2015-02-24 20:06:42.579995,johnfullard,http://dszi951biamkv.cloudfront.net/clips/videos/0b6124e7-a125-413b-ad9a-122b8212c02a/standard.mp4
2015-02-24 20:11:01.533154,johnfullard,http://dszi951biamkv.cloudfront.net/clips/videos/ad5327f8-86d5-4944-9a21-ad4f468b2676/standard.mp4
2015-02-24 20:23:51.348085,jef,http://dszi951biamkv.cloudfront.net/clips/videos/9ee4b0d5-67cf-404f-b2f2-ef234c168769/standard.mp4
2015-02-24 21:32:11.950769,jef,http://dszi951biamkv.cloudfront.net/clips/videos/7e03e33d-129d-44e4-a1bc-905062ea7fc2/standard.mp4
2015-02-24 22:15:30.585777,jef,http://dszi951biamkv.cloudfront.net/clips/videos/469e697a-fbec-44d8-8616-6d9af7d8e1e3/standard.mp4
2015-02-24 22:15:34.2844,james,http://dszi951biamkv.cloudfront.net/clips/videos/87a41111-3035-4a54-a13a-a7301f6d2323/standard.mp4
2015-02-24 22:18:26.044942,anna,http://dszi951biamkv.cloudfront.net/clips/videos/5e528843-457a-4713-abc9-394db3ced46f/standard.mp4
2015-02-24 22:28:23.836346,james,http://dszi951biamkv.cloudfront.net/clips/videos/8be01912-4113-404e-9463-107ba0917ef2/standard.mp4
2015-02-24 23:32:53.750409,hpmendoza,http://dszi951biamkv.cloudfront.net/clips/videos/3194f1ec-b93c-491d-ab9c-c8bbcea57347/standard.mp4
2015-02-24 23:34:01.111747,hpmendoza,http://dszi951biamkv.cloudfront.net/clips/videos/4b7551b6-f902-47ab-8a28-e136a959659b/standard.mp4
2015-02-24 23:36:19.982431,hpmendoza,http://dszi951biamkv.cloudfront.net/clips/videos/969fb18e-e8dc-4861-bf9a-65d68ffa8bc5/standard.mp4
2015-02-24 23:41:01.194736,hpmendoza,http://dszi951biamkv.cloudfront.net/clips/videos/9f17ac34-1f63-4f6e-a560-3163c6f0575f/standard.mp4
2015-02-25 00:03:25.885978,jef,http://dszi951biamkv.cloudfront.net/clips/videos/e79ad05f-309f-4d3b-9314-92f767674bd9/standard.mp4
2015-02-25 00:04:41.405903,hpmendoza,http://dszi951biamkv.cloudfront.net/clips/videos/62ae6168-5455-41e6-abca-f2d6cbe931d8/standard.mp4
2015-02-25 00:12:12.770966,hpmendoza,http://dszi951biamkv.cloudfront.net/clips/videos/522913e0-d617-4c89-b705-af1106bf150b/standard.mp4
2015-02-25 00:18:22.360486,johnfullard,http://dszi951biamkv.cloudfront.net/clips/videos/eb52709b-ebad-412c-84f3-5fb696464885/standard.mp4
2015-02-25 00:18:55.563649,johnfullard,http://dszi951biamkv.cloudfront.net/clips/videos/178247be-e8e0-46ac-9cd9-50f60f780249/standard.mp4
2015-02-25 00:19:05.575444,johnfullard,http://dszi951biamkv.cloudfront.net/clips/videos/5c82f454-2515-428a-aab3-cfd490731fd6/standard.mp4
2015-02-25 00:48:32.667288,Sylwia,http://dszi951biamkv.cloudfront.net/clips/videos/f9eda3b1-8515-4761-93f3-736cfe1f6dbf/standard.mp4
2015-02-25 00:56:48.218116,Sylwia,http://dszi951biamkv.cloudfront.net/clips/videos/f17ce631-43a4-453f-8dc7-b634f4e8fdc4/standard.mp4
2015-02-25 00:57:01.619337,anna,http://dszi951biamkv.cloudfront.net/clips/videos/001392e0-03d3-44c4-929e-a6ba5a1852b2/standard.mp4
2015-02-25 01:03:08.943444,Sylwia,http://dszi951biamkv.cloudfront.net/clips/videos/e9a13de9-0c7d-40d9-8a7f-a95504e12ffd/standard.mp4
2015-02-25 01:03:22.022251,Sylwia,http://dszi951biamkv.cloudfront.net/clips/videos/bc0dd084-290c-4e2c-a068-b7ab6e33b416/standard.mp4
2015-02-25 02:11:08.120957,anna,http://dszi951biamkv.cloudfront.net/clips/videos/2321f34d-2a09-4860-be40-da5e21126261/standard.mp4
2015-02-25 02:11:19.877257,anna,http://dszi951biamkv.cloudfront.net/clips/videos/828f7562-ee18-4436-a585-35078d087197/standard.mp4
2015-02-25 02:17:17.684215,anna,http://dszi951biamkv.cloudfront.net/clips/videos/d24a8987-2d84-409e-89d9-279947748d97/standard.mp4
2015-02-25 02:17:49.818416,anna,http://dszi951biamkv.cloudfront.net/clips/videos/6288e4e6-8355-4c40-b32c-dea00eba2ed5/standard.mp4
2015-02-25 02:26:29.747593,anna,http://dszi951biamkv.cloudfront.net/clips/videos/0da91b0d-3d40-4165-ae80-f26832ffe245/standard.mp4
2015-02-25 03:31:34.269107,jef,http://dszi951biamkv.cloudfront.net/clips/videos/726c45c8-e976-4ed6-b0cc-23518d8d51d9/standard.mp4
2015-02-25 05:37:22.02257,jef,http://dszi951biamkv.cloudfront.net/clips/videos/3c340788-2b9a-4712-a1b6-2ba0a98d41d8/standard.mp4
2015-02-25 17:51:56.736295,jef,http://dszi951biamkv.cloudfront.net/clips/videos/feabe540-8a0c-4141-bd39-5fe33947f332/standard.mp4
